Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,Date,timestamp,value,classification,Profitable,PnL_per_USD,Sentiment_Level,Day_of_Week,Volume_Category
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,46535.0,0.0317,1475.16,BUY,11-01-2024 00:00,0.0,Open Long,0.0,0x0004ae8e41eaab295eec040716d18501f400ce966f83da1366b8d5b8a65fecfa,6729928040,True,0.368789,893000000000000.0,1700000000000.0,2024-01-11,1704951000,76,Extreme Greed,False,0.0,Positive,Thursday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,46543.0,0.50556,23530.28,BUY,11-01-2024 00:00,0.0317,Open Long,0.0,0x0004ae8e41eaab295eec040716d18501f400ce966f83da1366b8d5b8a65fecfa,6729928040,True,5.882569,801000000000000.0,1700000000000.0,2024-01-11,1704951000,76,Extreme Greed,False,0.0,Positive,Thursday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2433.6,0.75,1825.2,SELL,11-01-2024 00:00,0.0,Open Short,0.0,0xbc675ce27939e47d3632040716d1ab02017c0098c31087a658b547dd74618c34,6729948800,True,0.4563,877000000000000.0,1700000000000.0,2024-01-11,1704951000,76,Extreme Greed,False,0.0,Positive,Thursday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2433.4,9.5203,23166.7,SELL,11-01-2024 00:00,-0.75,Open Short,0.0,0xbc675ce27939e47d3632040716d1ab02017c0098c31087a658b547dd74618c34,6729948800,True,5.791674,531000000000000.0,1700000000000.0,2024-01-11,1704951000,76,Extreme Greed,False,0.0,Positive,Thursday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,41697.0,0.00149,62.13,BUY,22-01-2024 00:00,-1.20143,Close Short,-0.123521,0xdaf01d746ac3146b4be9040741d6040131007c30ef8578132a17b92ec5cb552d,7679881980,True,0.015532,1110000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.0019881055850635766,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,41697.0,0.00153,63.8,BUY,22-01-2024 00:00,-1.19994,Close Short,-0.126837,0xdaf01d746ac3146b4be9040741d6040131007c30ef8578132a17b92ec5cb552d,7679881980,True,0.015949,479000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.001988040752351097,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,BTC,41697.0,1.19841,49970.1,BUY,22-01-2024 00:00,-1.19841,Close Short,-99.348189,0xdaf01d746ac3146b4be9040741d6040131007c30ef8578132a17b92ec5cb552d,7679881980,True,12.492525,931000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.0019881526953117964,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.3,0.7849,1946.0,SELL,22-01-2024 00:00,20.3339,Close Long,15.85498,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,0.4865,852000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.008147471736896197,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.3,0.0259,64.21,SELL,22-01-2024 00:00,19.549,Close Long,0.52318,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,0.016053,234000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.00814795203239371,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.2,0.012,29.75,SELL,22-01-2024 00:00,19.5231,Close Long,0.2412,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,0.007437,760000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.008107563025210084,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.2,1.0266,2545.15,SELL,22-01-2024 00:00,19.5111,Close Long,20.63466,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,0.636286,554000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.008107443569141308,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.1,0.01,24.79,SELL,22-01-2024 00:00,18.4845,Close Long,0.2,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,0.006197,883000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.008067769261799113,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ETH,2479.1,18.4745,45800.13,SELL,22-01-2024 00:00,18.4745,Close Long,369.49,0x177226976e740be05409040741d607016c00cd67c519c737d6423452408dddbe,7679882721,True,11.450033,763000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.008067444350048789,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SUSHI,1.1648,18.5,21.55,BUY,22-01-2024 00:00,-1905.1,Close Short,-2.13083,0x0bfd85bd4a3d94e2ca2e040741d614011b00c9a328a3b150ecee4d1e7a57d2e5,7679885837,True,0.005387,1080000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.0988784222737819,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SUSHI,1.1649,24.5,28.54,BUY,22-01-2024 00:00,-1886.6,Close Short,-2.82436,0x0bfd85bd4a3d94e2ca2e040741d614011b00c9a328a3b150ecee4d1e7a57d2e5,7679885837,True,0.007135,182000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.09896145760336371,Positive,Monday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SUSHI,1.1649,1862.1,2169.16,BUY,22-01-2024 00:00,-1862.1,Close Short,-214.662888,0x0bfd85bd4a3d94e2ca2e040741d614011b00c9a328a3b150ecee4d1e7a57d2e5,7679885837,True,0.54229,1050000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,False,-0.09896129746076823,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,RLB,0.11548,5052.0,583.4,BUY,22-01-2024 00:00,-7952.0,Close Short,48.969036,0x4c8fba1d3f989952a5e4040741d62b016a002d9e33b5d44af5e80f713928ff0b,7679893841,True,0.145851,1040000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.08393732601988345,Positive,Monday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,RLB,0.11587,2900.0,336.02,BUY,22-01-2024 00:00,-2900.0,Close Short,26.9787,0x4c8fba1d3f989952a5e4040741d62b016a002d9e33b5d44af5e80f713928ff0b,7679893841,True,0.084005,651000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.08028897089458961,Positive,Monday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,UNI,6.4632,316.6,2046.25,SELL,22-01-2024 00:00,316.6,Close Long,45.71704,0x19c74486ee3e95769f1f040741d63301020003380227b2d1217cfd03f415adc6,7679895278,True,0.511562,799000000000000.0,1710000000000.0,2024-01-22,1705901400,55,Greed,True,0.02234186438607208,Positive,Monday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.563,0.1,1.56,BUY,07-03-2025 00:00,4601.02,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.000544,500000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.572,36.81,573.21,BUY,07-03-2025 00:00,4601.12,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.200621,193000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.572,122.86,1913.18,BUY,07-03-2025 00:00,4637.93,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.669611,341000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.573,122.86,1913.3,BUY,07-03-2025 00:00,4760.79,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.669654,799000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.573,64.21,999.94,BUY,07-03-2025 00:00,4883.65,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.349979,918000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.575,36.81,573.32,BUY,07-03-2025 00:00,4947.86,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.20066,566000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.575,36.81,573.32,BUY,07-03-2025 00:00,4984.67,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.20066,445000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.577,12.83,199.85,BUY,07-03-2025 00:00,5021.48,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.069948,415000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.578,32.09,499.9,BUY,07-03-2025 00:00,5034.31,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.174964,755000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.578,128.97,2009.09,BUY,07-03-2025 00:00,5066.4,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.703183,951000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.578,128.97,2009.09,BUY,07-03-2025 00:00,5195.37,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.703183,648000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.579,108.93,1697.02,BUY,07-03-2025 00:00,5324.34,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.593957,1100000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.579,1.25,19.47,BUY,07-03-2025 00:00,5433.27,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.006815,293000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.579,128.97,2009.22,BUY,07-03-2025 00:00,5434.52,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.703228,229000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.579,36.81,573.46,BUY,07-03-2025 00:00,5563.49,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.200712,590000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.58,122.86,1914.16,BUY,07-03-2025 00:00,5600.3,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.669955,132000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.58,3.0,46.74,BUY,07-03-2025 00:00,5723.16,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.016359,136000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.581,30.7,478.34,BUY,07-03-2025 00:00,5726.16,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.167417,424000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.582,1.29,20.1,BUY,07-03-2025 00:00,5756.86,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.007035,683000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.582,36.81,573.57,BUY,07-03-2025 00:00,5758.15,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.20075,368000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.583,1.23,19.17,BUY,07-03-2025 00:00,5794.96,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.006708,84700000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.583,68.43,1066.34,BUY,07-03-2025 00:00,5796.19,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.37322,353000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.585,36.81,573.68,BUY,07-03-2025 00:00,5864.62,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.200789,528000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.585,19.32,301.1,BUY,07-03-2025 00:00,5901.43,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.105385,177000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.585,1.35,21.04,BUY,07-03-2025 00:00,5920.75,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.007363,1040000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Low
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.586,122.86,1914.9,BUY,07-03-2025 00:00,5922.1,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.670213,38000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,High
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.586,122.51,1909.44,BUY,07-03-2025 00:00,6044.96,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.668304,483000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.586,29.61,461.5,BUY,07-03-2025 00:00,6167.47,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.161525,656000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,HYPE,15.586,50.0,779.3,BUY,07-03-2025 00:00,6197.08,Open Long,0.0,0x10a4cf0273b5e00e29c9041f08e73f01d600e640f8104ae5084e22a881aed8fc,77726746772,True,0.272755,472000000000000.0,1740000000000.0,2025-03-07,1741325400,34,Fear,False,0.0,Negative,Friday,Medium
